見出し,見出し（説明）,分類,分類（説明）,日時,場所,対象,定員,費用,申込,問い合わせ,申込・問い合わせ,案内配布,受験資格,願書配布,URL1,URL2,Eメール1,Eメール2
消費者ネットワークわかやま公開学習会,消費者被害を回復する新制度を学ぶ,,,2月15日(水)14:00～15:30,県JAビル(和歌山市),,,,,消費者ネットワークわかやま　電話073-474-1124,,,,,,,,
和歌山かがやき展,盲・ろう・支援学校と小・中学校特別支援学級の児童生徒作品展,,,"2月10～15日10:00～17:00　※10日は11:00から、15日は12:00まで、13日は休館日",情報交流センターBig･U(田辺市),,,,,県立南紀支援学校　電話0739-47-2118,,,,,,,,
県名匠表彰・文化表彰受賞記念展,,"(1)奥野誠氏（紙漉き）の功績や作品を紹介　(2)大路和子氏（作家）、松本明慶氏（大佛師）、宮本卓氏（ゴルフ写真家）、日前宮（能楽）の作品展",,(1)2月15～20日9:30～17:00　※20日は15:00まで　(2)2月17～26日9:30～17:00,県民文化会館(和歌山市),,,,,県庁文化学術課,,,,,http://www.pref.wakayama.lg.jp/prefg/022100/,,,
わかやま環境賞,地域、事業所、教育機関などで環境保全に積極的に取り組む方を表彰,,,,,県内を拠点とする団体・個人（選考）※自薦、他薦は不問,,,,,郵送、持参で所定の申込書(申込先、WEBサイトで配布)を3月17日までに県庁環境生活総務課、県立保健所（支所）,,,,http://www.pref.wakayama.lg.jp/prefg/032000/econet/data/taisyobosyu.html,,,
和歌山で就職しよう！,UIターン就職セミナー,,,2月25日(土)14:00～15:30,阪急グランドビル (大阪市),県内就職希望の大学生など ,40人,,,,電話で住所、氏名、電話番号をジョブカフェわかやま　電話073-402-5757,,,,http://www.jobcafe-w.com/,,,
県介護普及センター特別講演会,笑顔と生きがいを生み出すコミュニケーションのヒント ,講師：石田竜生氏(日本介護エンターテイメント協会代表),,3月4日(土)13:30～15:10,プラザホープ(和歌山市),家族の介護をしている方や介護職の方など ,200人（先着順）,,,,電話、ファックスで住所、氏名、電話番号を県介護普及センター　電話073-446-4811　ファックス073-446-4821,,,,http://www.kotonoura.or.jp/,,,
障害者福祉バス,在宅障害者の社会参加を促進するための障害者福祉バスの利用申込(4～9月分),,,,,障害者とその介護者を合わせた人数が10人以上の障害者の団体,20回分（抽選）,,,,郵送、電話、ファックス、Eメールで所定の申込書(申込先、WEBサイトで配布)を2月28日までに県子ども・女性・障害者相談センター 〒641-0014和歌山市毛見1437-218電話073-445-5311　ファックス073-446-0036,,,,http://www.pref.wakayama.lg.jp/prefg/040402/bus/fukusibus.html,,e0404021@pref.wakayama.lg.jp,
職業訓練受講生,就職に有利な専門知識や技能を修得,科目：(1)(8)パソコン事務科(2)パソコン経理事務基礎科(3)Webデザイナー養成科(4)溶接加工科(5)住環境計画科(6)電気設備技術科(7)パソコン基礎科(9)ビジネスパソコン基礎科,,3月より随時開始,(1)～(6)和歌山市(7)有田市 (8)日高町(9)新宮市,,(1)～(8)各15人(9)14人（選考）,"5,000円～15,000円（テキスト代など）",,,(1)2月20日(2)(3)21日(8)23日(7)(9)27日(4)～(6)3月6日までにハローワーク,,,,http://wakayama-roudoukyoku.jsite.mhlw.go.jp/riyousha_mokuteki_menu/kyushokuchu/201712.html,,,
県試験場成果発表会,,(1)農業試験場・暖地園芸センター　(2)水産試験場　(3)林業試験場,,(1)2月8日(水)13:00～16:30　(2)2月9日(木)13:00～16:30　(3)2月15日(水)13:30～16:00,(1)農業試験場(紀の川市)　(2)紀南文化会館(田辺市)　(3)上富田文化会館,,各100人（先着順）,,,(1)会場　電話0736-64-2300　(2)水産試験場　電話0735-62-0940　(3)林業試験場　電話0739-47-2468,,,,,http://www.pref.wakayama.lg.jp/prefg/070109/h25happyo.htm,,,
UIターン就農相談フェア,県内で新規就農や農業法人などへ就職を希望する方のための相談会,"(1)和歌山市会場（新規就農者体験談有）　(2)御坊市会場 (農業体験・現地視察有)",,(1)2月26日(日)10:00?15:00　(2)3月12日(日)10:00?15:00　(3),(1)和歌山ビッグ愛(和歌山市)　(2)県就農支援センター(御坊市),,(2)の体験・視察は10人（先着順）,,,電話で(2)の体験・視察希望者のみ2月24日までに県就農支援センター　電話0738-23-3488,,,,,http://www.pref.wakayama.lg.jp/prefg/071601/,,,
農地を借りたい農業者、貸したい方へ,,募集区域：県内市町(太地町、北山村を除く),,,,,,,"［借りたい農業者］=郵送、ファックス、Eメール、持参で所定の申込書（JA、市町、WEBサイトで配布）を県農業公社 〒640-8263和歌山市茶屋ノ丁2-1　電話073-432-6115　ファックス073-422-4031　※JA、市町、振興局への持参も可　［貸したい方］=最寄りのJAへ相談",県庁経営支援課,,,,,http://www.w-apc.or.jp/index.html,,wanouko@alpha.ocn.ne.jp,
ミカンとふれあいデー・成果発表会,果樹試験場内施設の見学案内、研究成果の紹介、ミカンなんでも相談、栽培基礎講座、新品種試食,,,2月21日(火)10:00～16:00,果樹試験場(有田川町),,,,,会場 電話0737-52-4320,,,,,http://www.pref.wakayama.lg.jp/prefg/070109/gaiyou/002/002.htm,,,
幼保特例制度 通信教育講座,,コース：幼稚園教諭免許状取得(6科目8単位)、保育士資格取得(5科目8単位),,,,,各科目50人（先着順）,,,2月8～28日に和歌山信愛女子短期大学　電話073-499-7333　※費用・申込方法など詳しくは募集要項(WEBサイトで申込)を要確認,,,,,http://www.shinai-u.ac.jp/,,,
福祉・介護・保育の就職フェアわかやま,,,,3月2日(木)13:00～16:00,和歌山ビッグ愛(和歌山市),,,,,県福祉人材センターハートワーク　電話073-435-5211　※一時保育は要予約,,,,,,,,
仕事と家庭の両立術セミナー,セミナーとコンタクトセンター企業の職場見学会で両立術を学ぶ,,,3月7日(火)13:00～15:30,セミナー=和歌山市さんさんセンター紀の川 　見学会=ヤマトコンタクトサービス(株)、(和歌山市),,30人（先着順）,,,,郵送、電話、ファックス、Eメール、インターネットで住所、氏名、電話番号を3月1日までに県庁企業立地課　ファックス073-422-1933,,,,http://www.pref.wakayama.lg.jp/prefg/062200/ritchica/,,e0622001@pref.wakayama.lg.jp,
